                                                                                IPDPS HALL OF FAME                                                                                
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Author				' 91 ' 92 ' 93 ' 94 ' 95 ' 96 ' 97 ' 98 ' 99 ' 00 ' 01 ' 02 ' 03 ' 04 ' 05 ' 06 ' 07 ' 08 ' 09 ' 10 ' 11 ' 12 ' 13 ' 14 ' 15 ' 16 ' 17 ' 18 ' 19 ' 20 

Dhabaleswar K. Panda		|  0  |  0  |  3  |  1  |  2  |  1  |  1  |  1  |  3  |  2  |  4  |  1  |  4  |  1  |  0  |  0  |  5  |  3  |  2  |  0  |  0  |  2  |  1  |  1  |  1  |  2  |  1  |  1  |  2  |  0       ||     45
Jack J. Dongarra			|  0  |  0  |  0  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  3  |  0  |  1  |  0  |  2  |  0  |  0  |  2  |  5  |  4  |  2  |  4  |  2  |  0  |  1  |  1  |  3  |  0       ||     32
Howard Jay Siegel			|  2  |  2  |  1  |  1  |  1  |  0  |  0  |  2  |  1  |  1  |  1  |  2  |  3  |  0  |  3  |  2  |  3  |  4  |  2  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0       ||     31
Yves Robert			|  0  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  0  |  1  |  0  |  1  |  1  |  0  |  0  |  1  |  2  |  3  |  5  |  2  |  4  |  2  |  0  |  2  |  1  |  1  |  1  |  0  |  1  |  1       ||     30
José Duato			|  0  |  0  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  3  |  5  |  3  |  4  |  0  |  1  |  1  |  3  |  3  |  1  |  0  |  0  |  1  |  0  |  0  |  1  |  0  |  0  |  0  |  0  |  0       ||     29
Mahmut T. Kandemir		|  0  |  0  |  0  |  0  |  0  |  0  |  1  |  1  |  1  |  0  |  1  |  2  |  2  |  0  |  5  |  2  |  1  |  5  |  0  |  2  |  0  |  0  |  1  |  0  |  0  |  1  |  0  |  0  |  0  |  0       ||     25
Laxmikant V. Kalé			|  1  |  0  |  1  |  2  |  0  |  1  |  0  |  0  |  0  |  0  |  1  |  0  |  1  |  0  |  0  |  0  |  2  |  5  |  2  |  1  |  1  |  1  |  0  |  1  |  4  |  0  |  1  |  0  |  0  |  0       ||     25
Alok N. Choudhary			|  1  |  1  |  2  |  1  |  1  |  1  |  3  |  4  |  3  |  1  |  1  |  0  |  1  |  1  |  1  |  1  |  2  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0       ||     25
Yuanyuan Yang			|  0  |  0  |  0  |  0  |  0  |  2  |  1  |  2  |  0  |  1  |  1  |  1  |  2  |  1  |  0  |  0  |  1  |  4  |  1  |  0  |  0  |  1  |  3  |  1  |  1  |  0  |  1  |  0  |  0  |  0       ||     24
Sajal K. Das			|  2  |  1  |  1  |  2  |  1  |  2  |  1  |  1  |  3  |  0  |  3  |  1  |  1  |  3  |  2  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0       ||     24
Azzedine Boukerche		|  0  |  0  |  0  |  0  |  1  |  0  |  0  |  0  |  1  |  0  |  3  |  2  |  2  |  0  |  3  |  3  |  3  |  3  |  3  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0       ||     24
P. Sadayappan			|  0  |  0  |  1  |  1  |  1  |  0  |  0  |  0  |  2  |  0  |  4  |  0  |  1  |  1  |  0  |  0  |  2  |  2  |  0  |  0  |  1  |  2  |  0  |  0  |  0  |  2  |  0  |  1  |  2  |  0       ||     23
Martin Schulz			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  0  |  2  |  0  |  0  |  3  |  3  |  2  |  2  |  1  |  2  |  4  |  1  |  1  |  1  |  0       ||     23
Jesús Labarta			|  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  1  |  1  |  2  |  0  |  3  |  0  |  1  |  0  |  0  |  1  |  3  |  1  |  1  |  1  |  2  |  1  |  1  |  2  |  1  |  0  |  0  |  0       ||     23
Viktor K. Prasanna			|  0  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  3  |  1  |  2  |  0  |  1  |  1  |  2  |  3  |  1  |  3  |  0  |  0  |  1  |  0  |  1  |  0  |  0  |  0  |  1  |  0       ||     22
Torsten Hoefler			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  2  |  2  |  2  |  4  |  0  |  1  |  0  |  0  |  1  |  1  |  0  |  5  |  0  |  2  |  2       ||     22
Satoshi Matsuoka			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  0  |  0  |  1  |  2  |  2  |  5  |  1  |  2  |  1  |  0  |  1  |  2  |  1  |  0  |  0  |  1  |  1  |  1       ||     22
Olivier Beaumont			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  2  |  1  |  1  |  1  |  2  |  1  |  3  |  0  |  2  |  0  |  1  |  2  |  0  |  0  |  2  |  1  |  1  |  1  |  0       ||     22
Wu-chun Feng			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  0  |  1  |  1  |  1  |  0  |  3  |  1  |  1  |  1  |  0  |  2  |  0  |  1  |  4  |  1  |  0  |  1       ||     21
Guang R. Gao			|  0  |  0  |  0  |  1  |  0  |  0  |  1  |  1  |  2  |  1  |  2  |  1  |  2  |  0  |  0  |  1  |  7  |  0  |  0  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  0       ||     21
David A. Bader			|  0  |  0  |  0  |  0  |  0  |  2  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  2  |  0  |  0  |  7  |  4  |  3  |  1  |  0  |  0  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  0       ||     21
Xian-He Sun			|  0  |  0  |  0  |  1  |  0  |  1  |  0  |  1  |  2  |  0  |  1  |  1  |  2  |  0  |  2  |  0  |  1  |  0  |  1  |  0  |  1  |  1  |  1  |  0  |  1  |  0  |  0  |  1  |  0  |  2       ||     20
Gagan Agrawal			|  0  |  0  |  0  |  0  |  1  |  0  |  0  |  0  |  0  |  0  |  1  |  2  |  3  |  0  |  1  |  0  |  1  |  3  |  1  |  1  |  0  |  1  |  1  |  1  |  2  |  1  |  0  |  0  |  0  |  0       ||     20
Anthony A. Maciejewski		|  0  |  1  |  0  |  1  |  0  |  0  |  0  |  1  |  1  |  0  |  0  |  2  |  2  |  0  |  3  |  0  |  3  |  4  |  2  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0       ||     20
Henri Casanova			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  4  |  1  |  2  |  1  |  0  |  1  |  1  |  1  |  2  |  1  |  0  |  2  |  1  |  0  |  0  |  1  |  0  |  0       ||     19
Fabrizio Petrini			|  0  |  0  |  0  |  0  |  0  |  0  |  2  |  1  |  0  |  1  |  1  |  1  |  1  |  1  |  2  |  0  |  3  |  1  |  0  |  0  |  0  |  0  |  0  |  2  |  1  |  2  |  0  |  0  |  0  |  0       ||     19
Bronis R. de Supinski		|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  0  |  0  |  0  |  1  |  2  |  0  |  0  |  3  |  2  |  5  |  1  |  1  |  0  |  2  |  1  |  0  |  0  |  0       ||     19
Ümit V. Çatalyürek			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  2  |  0  |  0  |  0  |  3  |  3  |  2  |  2  |  0  |  1  |  1  |  0  |  1  |  1  |  0  |  0  |  0  |  1  |  0       ||     18
Srinivas Aluru			|  0  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  1  |  1  |  0  |  1  |  0  |  0  |  0  |  0  |  1  |  1  |  1  |  1  |  1  |  1  |  0  |  2  |  0  |  2  |  1  |  1  |  2  |  0       ||     18
Mateo Valero			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  1  |  0  |  0  |  1  |  1  |  3  |  1  |  1  |  1  |  1  |  1  |  1  |  1  |  4  |  0  |  0  |  0       ||     18
